Name,URL,Type,BirthYear,DeathYear
Kev Orkian,https://en.wikipedia.org/wiki/Kev_Orkian,Stand-up comedians,1974,
Kevin Bridges,https://en.wikipedia.org/wiki/Kevin_Bridges,Stand-up comedians,1986,
Kevin Connelly,https://en.wikipedia.org/wiki/Kevin_Connelly,Impressionists,,
Kevin Eldon,https://en.wikipedia.org/wiki/Kevin_Eldon,Sketch show/alternative comedians,1960,
Kiell Smith-Bynoe,https://en.wikipedia.org/wiki/Kiell_Smith-Bynoe,Sitcom comedians,1989,
Kunal Nayyar,https://en.wikipedia.org/wiki/Kunal_Nayyar,Sitcom comedians,1981,
Laura Lexx,https://en.wikipedia.org/wiki/Laura_Lexx,Comedy panel game regulars,,
Laura Solon,https://en.wikipedia.org/wiki/Laura_Solon,Sketch show/alternative comedians,1979,
Lauren Laverne,https://en.wikipedia.org/wiki/Lauren_Laverne,Comedy panel game regulars,,
Laurence Clark,https://en.wikipedia.org/wiki/Laurence_Clark_(comedian),Stand-up comedians,1974,
Laurence Rickard,https://en.wikipedia.org/wiki/Laurence_Rickard,Sitcom comedians,1975,
Lee Evans,https://en.wikipedia.org/wiki/Lee_Evans_(comedian),Stand-up comedians,1964,
Lee Hurst,https://en.wikipedia.org/wiki/Lee_Hurst,Stand-up comedians,1962,
Lee Mack,https://en.wikipedia.org/wiki/Lee_Mack,Stand-up comedians,1968,
Lee Peart,https://en.wikipedia.org/wiki/Lee_Peart,Stand-up comedians,1990,
Lemn Sissay,https://en.wikipedia.org/wiki/Lemn_Sissay,Poets with a comedic bent,,
Lenny Henry,https://en.wikipedia.org/wiki/Lenny_Henry,Sketch show/alternative comedians,1958,
Les Barker,https://en.wikipedia.org/wiki/Les_Barker,Musical comedians,1947,
Les Dawson,https://en.wikipedia.org/wiki/Les_Dawson,Comedy panel game regulars,,
Les Dennis,https://en.wikipedia.org/wiki/Les_Dennis,Stand-up comedians,1953,
Lesley Joseph,https://en.wikipedia.org/wiki/Lesley_Joseph,Sitcom comedians,1945,
Lewis Costello,https://en.wikipedia.org/wiki/Lewis_Costello,Stand-up comedians,1993,
Linda Robson,https://en.wikipedia.org/wiki/Linda_Robson,Sitcom comedians,1958,
Linda Smith,https://en.wikipedia.org/wiki/Linda_Smith_(comedian),Comedy panel game regulars,,
Liza Tarbuck,https://en.wikipedia.org/wiki/Liza_Tarbuck,Sitcom comedians,1964,
