Name,URL,Type,BirthYear,DeathYear
Victor Lewis-Smith,https://en.wikipedia.org/wiki/Victor_Lewis-Smith,Radio comedians,1959,2022
Betty Marsden,https://en.wikipedia.org/wiki/Betty_Marsden,Radio comedians,1919,1998
Spike Milligan,https://en.wikipedia.org/wiki/Spike_Milligan,Radio comedians,1918,2002
Robert Moreton,https://en.wikipedia.org/wiki/Robert_Moreton,Radio comedians,1922,1957
Chris Morris,https://en.wikipedia.org/wiki/Chris_Morris_(satirist),Radio comedians,1962,
Richard Murdoch,https://en.wikipedia.org/wiki/Richard_Murdoch,Radio comedians,1907,1990
Stephen Murray,https://en.wikipedia.org/wiki/Stephen_Murray_(actor),Radio comedians,1912,1983
Joy Nichols,https://en.wikipedia.org/wiki/Joy_Nichols,Radio comedians,1925,1992
Bill Oddie,https://en.wikipedia.org/wiki/Bill_Oddie,Radio comedians,1941,
Hugh Paddick,https://en.wikipedia.org/wiki/Hugh_Paddick,Radio comedians,1915,2000
Bill Pertwee,https://en.wikipedia.org/wiki/Bill_Pertwee,Radio comedians,1926,2013
Jon Pertwee,https://en.wikipedia.org/wiki/Jon_Pertwee,Radio comedians,1919,1996
Leslie Phillips,https://en.wikipedia.org/wiki/Leslie_Phillips,Radio comedians,1924,2022
Dennis Price,https://en.wikipedia.org/wiki/Dennis_Price,Radio comedians,1915,1973
Ted Ray,https://en.wikipedia.org/wiki/Ted_Ray_(comedian),Radio comedians,1905,1977
Al Read,https://en.wikipedia.org/wiki/Al_Read,Radio comedians,1909,1987
Peter Sallis,https://en.wikipedia.org/wiki/Peter_Sallis,Radio comedians,1921,2017
Harry Secombe,https://en.wikipedia.org/wiki/Harry_Secombe,Radio comedians,1921,2001
Peter Sellers,https://en.wikipedia.org/wiki/Peter_Sellers,Radio comedians,1925,1980
Mark Steel,https://en.wikipedia.org/wiki/Mark_Steel,Radio comedians,1960,
Kenneth Williams,https://en.wikipedia.org/wiki/Kenneth_Williams,Radio comedians,1926,1988
Douglas Adams,https://en.wikipedia.org/wiki/Douglas_Adams,Satirists,1952,2001
"Michael ""Atters"" Attree",https://en.wikipedia.org/wiki/Michael_%22Atters%22_Attree,Satirists,1965,
Ikenna Azuike,https://en.wikipedia.org/wiki/Ikenna_Azuike,Satirists,1979,
John Bird,https://en.wikipedia.org/wiki/John_Bird_(actor),Satirists,1936,2022
Eleanor Bron,https://en.wikipedia.org/wiki/Eleanor_Bron,Satirists,1938,
Munya Chawawa,https://en.wikipedia.org/wiki/Munya_Chawawa,Satirists,1992,
Peter Cook,https://en.wikipedia.org/wiki/Peter_Cook,Satirists,1937,1995
John Fortune,https://en.wikipedia.org/wiki/John_Fortune,Satirists,1939,2013
Ian Hislop,https://en.wikipedia.org/wiki/Ian_Hislop,Satirists,1960,
Jon Holmes,https://en.wikipedia.org/wiki/Jon_Holmes,Satirists,1973,
Rosie Holt,https://en.wikipedia.org/wiki/Rosie_Holt,Satirists,,
Armando Iannucci,https://en.wikipedia.org/wiki/Armando_Iannucci,Satirists,1963,
Nish Kumar,https://en.wikipedia.org/wiki/Nish_Kumar,Satirists,,
Victor Lewis-Smith,https://en.wikipedia.org/wiki/Victor_Lewis-Smith,Satirists,1959,
Chris Morris,https://en.wikipedia.org/wiki/Chris_Morris_(satirist),Satirists,1962,
John Oliver,https://en.wikipedia.org/wiki/John_Oliver,Satirists,1977,
William Rushton,https://en.wikipedia.org/wiki/Willie_Rushton,Satirists,1937,1996
Michael Spicer,https://en.wikipedia.org/wiki/Michael_Spicer_(comedian),Satirists,,
Mark Thomas,https://en.wikipedia.org/wiki/Mark_Thomas,Satirists,1963,
Tom Walker,https://en.wikipedia.org/wiki/Jonathan_Pie,Satirists,,
Andy Zaltzman,https://en.wikipedia.org/wiki/Andy_Zaltzman,Satirists,1974,
James Acaster,https://en.wikipedia.org/wiki/James_Acaster,Comedy panel game regulars,,
Maisie Adam,https://en.wikipedia.org/wiki/Maisie_Adam,Comedy panel game regulars,,
Chris Addison,https://en.wikipedia.org/wiki/Chris_Addison,Comedy panel game regulars,,
Simon Amstell,https://en.wikipedia.org/wiki/Simon_Amstell,Comedy panel game regulars,,
Clive Anderson,https://en.wikipedia.org/wiki/Clive_Anderson,Comedy panel game regulars,,
Richard Ayoade,https://en.wikipedia.org/wiki/Richard_Ayoade,Comedy panel game regulars,,
Bill Bailey,https://en.wikipedia.org/wiki/Bill_Bailey,Comedy panel game regulars,,
Angela Barnes,https://en.wikipedia.org/wiki/Angela_Barnes,Comedy panel game regulars,,
Frankie Boyle,https://en.wikipedia.org/wiki/Frankie_Boyle,Comedy panel game regulars,,
Jo Brand,https://en.wikipedia.org/wiki/Jo_Brand,Comedy panel game regulars,,
Russell Brand,https://en.wikipedia.org/wiki/Russell_Brand,Comedy panel game regulars,,
Jen Brister,https://en.wikipedia.org/wiki/Jen_Brister,Comedy panel game regulars,,
Rory Bremner,https://en.wikipedia.org/wiki/Rory_Bremner,Comedy panel game regulars,,
Kevin Bridges,https://en.wikipedia.org/wiki/Kevin_Bridges,Comedy panel game regulars,,
Marcus Brigstocke,https://en.wikipedia.org/wiki/Marcus_Brigstocke,Comedy panel game regulars,,
Tim Brooke-Taylor,https://en.wikipedia.org/wiki/Tim_Brooke-Taylor,Comedy panel game regulars,,
Rob Brydon,https://en.wikipedia.org/wiki/Rob_Brydon,Comedy panel game regulars,,
Susan Calman,https://en.wikipedia.org/wiki/Susan_Calman,Comedy panel game regulars,,
Alan Carr,https://en.wikipedia.org/wiki/Alan_Carr,Comedy panel game regulars,,
Jimmy Carr,https://en.wikipedia.org/wiki/Jimmy_Carr,Comedy panel game regulars,,
Craig Charles,https://en.wikipedia.org/wiki/Craig_Charles,Comedy panel game regulars,,
Paul Chowdhry,https://en.wikipedia.org/wiki/Paul_Chowdhry,Comedy panel game regulars,,
Daisy May Cooper,https://en.wikipedia.org/wiki/Daisy_May_Cooper,Comedy panel game regulars,,
Alan Coren,https://en.wikipedia.org/wiki/Alan_Coren,Comedy panel game regulars,,
Barry Cryer,https://en.wikipedia.org/wiki/Barry_Cryer,Comedy panel game regulars,,
Alan Davies,https://en.wikipedia.org/wiki/Alan_Davies,Comedy panel game regulars,,
Les Dawson,https://en.wikipedia.org/wiki/Les_Dawson,Comedy panel game regulars,,
Angus Deayton,https://en.wikipedia.org/wiki/Angus_Deayton,Comedy panel game regulars,,
Jack Dee,https://en.wikipedia.org/wiki/Jack_Dee,Comedy panel game regulars,,
Hugh Dennis,https://en.wikipedia.org/wiki/Hugh_Dennis,Comedy panel game regulars,,
Omid Djalili,https://en.wikipedia.org/wiki/Omid_Djalili,Comedy panel game regulars,,
Harry Enfield,https://en.wikipedia.org/wiki/Harry_Enfield,Comedy panel game regulars,,
Noel Fielding,https://en.wikipedia.org/wiki/Noel_Fielding,Comedy panel game regulars,,
Micky Flanagan,https://en.wikipedia.org/wiki/Micky_Flanagan,Comedy panel game regulars,,
Clement Freud,https://en.wikipedia.org/wiki/Clement_Freud,Comedy panel game regulars,,
Stephen Fry,https://en.wikipedia.org/wiki/Stephen_Fry,Comedy panel game regulars,,
Graeme Garden,https://en.wikipedia.org/wiki/Graeme_Garden,Comedy panel game regulars,,
Kerry Godliman,https://en.wikipedia.org/wiki/Kerry_Godliman,Comedy panel game regulars,,
Dave Gorman,https://en.wikipedia.org/wiki/Dave_Gorman,Comedy panel game regulars,,
Jeff Green,https://en.wikipedia.org/wiki/Jeff_Green_(comedian),Comedy panel game regulars,,
Andy Hamilton,https://en.wikipedia.org/wiki/Andy_Hamilton,Comedy panel game regulars,,
Nick Hancock,https://en.wikipedia.org/wiki/Nick_Hancock,Comedy panel game regulars,1962,
Jeremy Hardy,https://en.wikipedia.org/wiki/Jeremy_Hardy,Comedy panel game regulars,,
Tony Hawks,https://en.wikipedia.org/wiki/Tony_Hawks,Comedy panel game regulars,,
Richard Herring,https://en.wikipedia.org/wiki/Richard_Herring,Comedy panel game regulars,,
Ian Hislop,https://en.wikipedia.org/wiki/Ian_Hislop,Comedy panel game regulars,,
Simon Hoggart,https://en.wikipedia.org/wiki/Simon_Hoggart,Comedy panel game regulars,,
Rufus Hound,https://en.wikipedia.org/wiki/Rufus_Hound,Comedy panel game regulars,,
Russell Howard,https://en.wikipedia.org/wiki/Russell_Howard,Comedy panel game regulars,,
Lee Hurst,https://en.wikipedia.org/wiki/Lee_Hurst,Comedy panel game regulars,,
Richard Ingrams,https://en.wikipedia.org/wiki/Richard_Ingrams,Comedy panel game regulars,,
Elis James,https://en.wikipedia.org/wiki/Elis_James,Comedy panel game regulars,,
Milton Jones,https://en.wikipedia.org/wiki/Milton_Jones,Comedy panel game regulars,,
Peter Jones,https://en.wikipedia.org/wiki/Peter_Jones_(actor),Comedy panel game regulars,,
Rosie Jones,https://en.wikipedia.org/wiki/Rosie_Jones_(comedian),Comedy panel game regulars,,
Phill Jupitus,https://en.wikipedia.org/wiki/Phill_Jupitus,Comedy panel game regulars,,
Miles Jupp,https://en.wikipedia.org/wiki/Miles_Jupp,Comedy panel game regulars,,
Sarah Keyworth,https://en.wikipedia.org/wiki/Sarah_Keyworth,Comedy panel game regulars,,
Athena Kugblenu,https://en.wikipedia.org/wiki/Athena_Kugblenu,Comedy panel game regulars,,
Nish Kumar,https://en.wikipedia.org/wiki/Nish_Kumar,Comedy panel game regulars,,
Lauren Laverne,https://en.wikipedia.org/wiki/Lauren_Laverne,Comedy panel game regulars,,
Laura Lexx,https://en.wikipedia.org/wiki/Laura_Lexx,Comedy panel game regulars,,
Cariad Lloyd,https://en.wikipedia.org/wiki/Cariad_Lloyd,Comedy panel game regulars,,
Sean Lock,https://en.wikipedia.org/wiki/Sean_Lock,Comedy panel game regulars,,
Josie Long,https://en.wikipedia.org/wiki/Josie_Long,Comedy panel game regulars,,
Zoe Lyons,https://en.wikipedia.org/wiki/Zoe_Lyons,Comedy panel game regulars,,
Humphrey Lyttelton,https://en.wikipedia.org/wiki/Humphrey_Lyttelton,Comedy panel game regulars,,
Lee Mack,https://en.wikipedia.org/wiki/Lee_Mack,Comedy panel game regulars,,
Jason Manford,https://en.wikipedia.org/wiki/Jason_Manford,Comedy panel game regulars,,
Arthur Marshall,https://en.wikipedia.org/wiki/Arthur_Marshall_(broadcaster),Comedy panel game regulars,,
Rory McGrath,https://en.wikipedia.org/wiki/Rory_McGrath,Comedy panel game regulars,,
Michael McIntyre,https://en.wikipedia.org/wiki/Michael_McIntyre,Comedy panel game regulars,,
Paul Merton,https://en.wikipedia.org/wiki/Paul_Merton,Comedy panel game regulars,,
Sarah Millican,https://en.wikipedia.org/wiki/Sarah_Millican,Comedy panel game regulars,,
David Mitchell,https://en.wikipedia.org/wiki/David_Mitchell_(comedian),Comedy panel game regulars,,
Diane Morgan,https://en.wikipedia.org/wiki/Diane_Morgan,Comedy panel game regulars,,
Robert Morley,https://en.wikipedia.org/wiki/Robert_Morley,Comedy panel game regulars,,
Frank Muir,https://en.wikipedia.org/wiki/Frank_Muir,Comedy panel game regulars,,
Derek Nimmo,https://en.wikipedia.org/wiki/Derek_Nimmo,Comedy panel game regulars,,
Ross Noble,https://en.wikipedia.org/wiki/Ross_Noble,Comedy panel game regulars,,
Sara Pascoe,https://en.wikipedia.org/wiki/Sara_Pascoe,Comedy panel game regulars,,
Rachel Parris,https://en.wikipedia.org/wiki/Rachel_Parris,Comedy panel game regulars,,
Andy Parsons,https://en.wikipedia.org/wiki/Andy_Parsons,Comedy panel game regulars,,
Lucy Porter,https://en.wikipedia.org/wiki/Lucy_Porter,Comedy panel game regulars,,
Sue Perkins,https://en.wikipedia.org/wiki/Sue_Perkins,Comedy panel game regulars,,
Katie Perry,https://en.wikipedia.org/wiki/Katie_Perry,Comedy panel game regulars,,
Robin Ray,https://en.wikipedia.org/wiki/Robin_Ray,Comedy panel game regulars,,
Jon Richardson,https://en.wikipedia.org/wiki/Jon_Richardson,Comedy panel game regulars,,
Jonathan Ross,https://en.wikipedia.org/wiki/Jonathan_Ross,Comedy panel game regulars,,
Suzi Ruffell,https://en.wikipedia.org/wiki/Suzi_Ruffell,Comedy panel game regulars,,
Willie Rushton,https://en.wikipedia.org/wiki/Willie_Rushton,Comedy panel game regulars,,
Linda Smith,https://en.wikipedia.org/wiki/Linda_Smith_(comedian),Comedy panel game regulars,,
