Name,URL,Type,BirthYear,DeathYear,PageLength,Age,Gender,Birthplace,BirthplaceLat,BirthplaceLon,DistanceFromTeddington
Nick Frost,https://en.wikipedia.org/wiki/Nick_Frost,Film,1972,,9939,53.0,Male,"Hornchurch, Greater London",51.5617734,0.2207441,41.23
Nick Hancock,https://en.wikipedia.org/wiki/Nick_Hancock,Comedy panel game regulars,1962,,8328,63.0,Male,Stoke-on-Trent,53.0162014,-2.1812607,217.63
Nick Helm,https://en.wikipedia.org/wiki/Nick_Helm,Sitcom comedians,1980,,6715,45.0,Male,West Smithfield,51.5178275,-0.1021753,18.97
Nigel Planer,https://en.wikipedia.org/wiki/Nigel_Planer,Sketch show/alternative comedians,1953,,15363,72.0,Male,"Westminster, London",51.5074456,-0.1277653,16.85
Nina Conti,https://en.wikipedia.org/wiki/Nina_Conti,Stand-up comedians,1974,,10134,51.0,Female,"Hampstead, London, England",51.5565357,-0.178534,18.1
Ninia Benjamin,https://en.wikipedia.org/wiki/Ninia_Benjamin,Stand-up comedians,,,1379,,Female,Edinburgh Festival,55.9465596,-3.1864989,537.4
Nish Kumar,https://en.wikipedia.org/wiki/Nish_Kumar,Comedy panel game regulars,,,11886,,Male,"London, England",51.5074456,-0.1277653,16.85
Noel Fielding,https://en.wikipedia.org/wiki/Noel_Fielding,Stand-up comedians,1973,,31377,52.0,Male,"Westminster, London, England",51.5013562,-0.1249302,16.66
Norman Lovett,https://en.wikipedia.org/wiki/Norman_Lovett,Stand-up comedians,1946,,7054,79.0,Male,"Windsor, Berkshire, England",51.4837886,-0.6040419,20.12
Norman Pace,https://en.wikipedia.org/wiki/Norman_Pace,Comedy double acts,,,2723,,Male,Dudley,52.5110832,-2.0816813,170.59
Olivia Colman,https://en.wikipedia.org/wiki/Olivia_Colman,Sketch show/alternative comedians,1974,,40159,51.0,Female,"Norwich, Norfolk",52.6285576,1.2923954,174.24
Omid Djalili,https://en.wikipedia.org/wiki/Omid_Djalili,Comedy panel game regulars,,,10834,,Male,"Kensington, London, England",51.497437,-0.2094954,11.7
Owen O'Neill,https://en.wikipedia.org/wiki/Owen_O%27Neill,Poets with a comedic bent,,,4275,,Male,"Cookstown, Northern Ireland",54.6436734,-6.7416008,559.37
Pam Ayres,https://en.wikipedia.org/wiki/Pam_Ayres,Poets with a comedic bent,1947,,13989,78.0,Female,"Pamela Ayres[1]   Stanford in the Vale, Berkshire, England",,,
Pamela Stephenson,https://en.wikipedia.org/wiki/Pamela_Stephenson,Sketch show/alternative comedians,1949,,37933,76.0,Female,Takapuna,-36.7878213,174.7729913,18332.88
Papa CJ,https://en.wikipedia.org/wiki/Papa_CJ,Stand-up comedians,,,4407,,Male,Russell Peters,32.3162434,-85.118805,6935.9
Patricia Routledge,https://en.wikipedia.org/wiki/Patricia_Routledge,Sitcom comedians,1929,,30216,96.0,Female,"Tranmere, Cheshire",53.3434136,-2.2094312,248.9
Patrick Fyffe,https://en.wikipedia.org/wiki/Patrick_Fyffe,Comedy double acts,,,4442,,Male,"Acton Trussell, Staffordshire, England",52.7609801,-2.0947176,191.65
Paul Burling,https://en.wikipedia.org/wiki/Paul_Burling,Impressionists,1969,,3132,56.0,Male,"Hertfordshire, England",51.8400523,-0.0978552,48.97
Paul Chowdhry,https://en.wikipedia.org/wiki/Paul_Chowdhry,Stand-up comedians,1974,,7974,51.0,Male,"Edgware, London",51.6136623,-0.2749555,21.41
Paul Cinquevalli,https://en.wikipedia.org/wiki/Paul_Cinquevalli,Comedy double acts,,,4009,,Male,,,,
Paul Foot,https://en.wikipedia.org/wiki/Paul_Foot_(comedian),Stand-up comedians,1973,,14969,52.0,Male,"Amersham, Buckinghamshire, England",51.676685,-0.607692,34.02
Paul Kaye,https://en.wikipedia.org/wiki/Paul_Kaye,Spoof show comedians,,,17041,,Male,"Clapham, London, England",51.4644589,-0.1705184,11.99
