Name,Probability
Lee Sharpe,0.0007033179781876894
Barry Richardson,0.0006995366987350676
Alf Ramsey,0.0006806303014719575
Mick Mills,0.0006806303014719575
Ben Wright,0.0006806303014719575
Trevor Brooking,0.0006806303014719575
Cole Palmer,0.0006777943418824911
Drey Wright,0.0006522707055772927
Elliott Johnson,0.0006522707055772927
Kiano Dyer,0.0006494347459878261
Michael Allen,0.0006494347459878261
Dave Walton,0.0006465987863983596
Steve Tully,0.0006465987863983596
Richard Walker,0.0006465987863983596
Rob Jones,0.0006465987863983596
Andy Duncan,0.0006465987863983596
Stephen Hunt,0.0006465987863983596
Michael Carr,0.0006465987863983596
Paul Robinson,0.0006465987863983596
Simon Weaver,0.0006465987863983596
Adie Smith,0.0006465987863983596
Francis Green,0.0006465987863983596
Gary Jones,0.0006465987863983596
Richie Barker,0.0006465987863983596
Ben Smith,0.0006465987863983596
Alex Smith,0.0006465987863983596
James Robinson,0.0006465987863983596
Tom Williamson,0.0006465987863983596
Jeff Smith,0.0006465987863983596
Ryan Robinson,0.0006465987863983596
Seth Johnson,0.0006465987863983596
Sue Smith,0.0006465987863983596
Simon Johnson,0.0006465987863983596
Michael Ricketts,0.0006465987863983596
Eddie Johnson,0.0006465987863983596
Jonny Dixon,0.0006465987863983596
Steve Foster,0.0006465987863983596
Mark Bailey,0.0006465987863983596
Kyle Walker,0.0006352549480404937
Joel Ward,0.0006352549480404937
Callum Wilson,0.0006352549480404937
Tom Parkes,0.0006352549480404937
Fraser Forster,0.0006352549480404937
Alex Oxlade-Chamberlain,0.0006352549480404937
Tom Huddlestone,0.0006352549480404937
Aaron Cresswell,0.0006352549480404937
Martin Kelly,0.0006352549480404937
Danny Ings,0.0006352549480404937
Joe Hart,0.0006352549480404937
Jack Butland,0.0006352549480404937
Scott Carson,0.0006352549480404937
Andy Carroll,0.0006352549480404937
Danny Welbeck,0.0006352549480404937
Kieran Trippier,0.0006352549480404937
Barney Williams,0.0006239111096826278
Bobby Moore,0.0006239111096826278
Kerry Dixon,0.0006239111096826278
Ashley Fletcher,0.0006068953521458288
Joel Coleman,0.0006068953521458288
Dean Henderson,0.0006068953521458288
Jesse Lingard,0.0006068953521458288
James Ward-Prowse,0.0006068953521458288
William Mannion,0.0006068953521458288
Nick Pope,0.0006068953521458288
Danny Johnson,0.0006068953521458288
Harry Smith,0.0006068953521458288
Kalvin Phillips,0.0006068953521458288
Jack Payne,0.0006068953521458288
Eric Dier,0.0006068953521458288
Dele Alli,0.0006068953521458288
Richard Walker,0.0005898795946090298
Chris Allen,0.0005898795946090298
Steve Bowey,0.0005898795946090298
Mark Salter,0.0005898795946090298
Lee Shearer,0.0005898795946090298
Peter Thomson,0.0005898795946090298
David Watson,0.0005898795946090298
Gary Bradshaw,0.0005898795946090298
Steve Bushell,0.0005898795946090298
David Soames,0.0005898795946090298
Steve Williams,0.0005898795946090298
Shaun Smith,0.0005898795946090298
Jason Smith,0.0005898795946090298
Phil Walsh,0.0005898795946090298
Richard Smith,0.0005898795946090298
Paul Robinson,0.0005898795946090298
Nicky Hill,0.0005898795946090298
Jim Rodwell,0.0005898795946090298
Joe Parkinson,0.0005898795946090298
Ryan Mallon,0.0005898795946090298
Sam McMahon,0.0005898795946090298
Steve McMahon,0.0005898795946090298
Ben Morley,0.0005898795946090298
Barry Jones,0.0005898795946090298
Sonny Parker,0.0005898795946090298
Jon Richardson,0.0005898795946090298
John Cunliffe,0.0005898795946090298
Jaden Brown,0.0005785357562511638
Amy Turner,0.0005785357562511638
Adam Lallana,0.000567191917893298
Jack Payne,0.000567191917893298
Ashley Young,0.000567191917893298
Paul Walsh,0.0005671919178932979
Jimmy Dickinson,0.0005671919178932979
Neil Webb,0.0005671919178932979
Grant Smith,0.0005388323219986331
Paul Gascoigne,0.0005331604028197001
Bryan Robson,0.0005331604028197001
Nigel Clough,0.0005331604028197001
Gary Mills,0.0005331604028197001
Phil Neal,0.0005104727261039682
Paul Holmes,0.0005104727261039682
Sian Williams,0.0005104727261039682
Viv Anderson,0.0005104727261039682
Gerry Byrne,0.00047644121103037024
Terry McDermott,0.00047644121103037024
Roy Bentley,0.00047644121103037024
Bill Eckersley,0.00047644121103037024
Jackie Milburn,0.00047644121103037024
Alan Peacock,0.00047644121103037024
Tony Dorigo,0.00047644121103037024
Trevor Steven,0.00047644121103037024
Stan Mortensen,0.00047644121103037024
Keith Newton,0.00047644121103037024
Ted Ditchburn,0.00047644121103037024
Paul Mariner,0.00047644121103037024
Carlton Palmer,0.00047644121103037024
Keith Curle,0.00047644121103037024
Steve Bull,0.00047644121103037024
Terry Paine,0.00047644121103037024
Francis Lee,0.00047644121103037024
Wilf Mannion,0.00047644121103037024
Phil Thompson,0.00047644121103037024
Andy Hinchcliffe,0.00047644121103037024
Tommy Wright,0.00047644121103037024
Emlyn Hughes,0.00047644121103037024
Laurie Hughes,0.00047644121103037024
Stan Anderson,0.00047644121103037024
Jeff Astle,0.00047644121103037024
Chris Woods,0.00047644121103037024
Tony Woodcock,0.00047644121103037024
Peter Withe,0.00047644121103037024
Gary Bailey,0.00047644121103037024
Mark Hateley,0.00047644121103037024
Bert Williams,0.00047644121103037024
Steve Guppy,0.00047644121103037024
Willie Watson,0.00047644121103037024
Trevor Francis,0.00047644121103037024
Kevin Keegan,0.00047644121103037024
Steve Foster,0.00047644121103037024
Brian Labone,0.00047644121103037024
Tim Flowers,0.00047644121103037024
Matt Le Tissier,0.00047644121103037024
Des Walker,0.00047644121103037024
Chris Waddle,0.00047644121103037024
David Batty,0.00047644121103037024
Bobby Smith,0.00047644121103037024
Colin Bell,0.00047644121103037024
Ian Callaghan,0.00047644121103037024
Henry Cockburn,0.00047644121103037024
Terry Cooper,0.00047644121103037024
Stuart Ripley,0.00047644121103037024
Colin Cooper,0.00047644121103037024
Joe Corrigan,0.00047644121103037024
Ray Clemence,0.00047644121103037024
Allan Clarke,0.00047644121103037024
Allenby Chilton,0.00047644121103037024
Laurie Scott,0.00047644121103037024
Steve Coppell,0.00047644121103037024
Jordan Brown,0.00046509737267250433
Harry Maguire,0.00046509737267250433
Jack Robinson,0.00046509737267250433
Nathan Thompson,0.00046509737267250433
John Stones,0.00046509737267250433
Archie Gray,0.00046509737267250433
Harry Davis,0.00046509737267250433
Tom White,0.00046509737267250433
Aaron Martin,0.00046509737267250433
Jake Robinson,0.00046509737267250433
Jamie Vardy,0.00046509737267250433
